bin_start,bin_end,count
-0.2,-0.18000000000000002,1
-0.18000000000000002,-0.16,0
-0.16,-0.14,1
-0.14,-0.12000000000000001,1
-0.12000000000000001,-0.1,4
-0.1,-0.08000000000000002,14
-0.08000000000000002,-0.06,34
-0.06,-0.04000000000000001,91
-0.04000000000000001,-0.020000000000000018,355
-0.020000000000000018,0.0,1034867
0.0,0.01999999999999999,1003817
0.01999999999999999,0.03999999999999998,435
0.03999999999999998,0.06,105
0.06,0.08000000000000002,32
0.08000000000000002,0.09999999999999998,16
0.09999999999999998,0.12,4
0.12,0.14,3
0.14,0.15999999999999998,0
0.15999999999999998,0.18,0
0.18,0.2,1
